[-1.0,0.038461538461538464]
[-0.9,0.047058823529411764]
[-0.8,0.05882352941176469]
[-0.7,0.07547169811320756]
[-0.6,0.1]
[-0.5,0.13793103448275862]
[-0.3999999999999999,0.20000000000000007]
[-0.29999999999999993,0.3076923076923078]
[-0.19999999999999996,0.5000000000000001]
[-0.09999999999999998,0.8]
[0.0,1.0]
[0.10000000000000009,0.7999999999999997]
[0.20000000000000018,0.49999999999999956]
[0.30000000000000004,0.30769230769230765]
[0.40000000000000013,0.1999999999999999]
[0.5,0.13793103448275862]
[0.6000000000000001,0.09999999999999998]
[0.7000000000000002,0.0754716981132075]
[0.8,0.05882352941176469]
[0.9000000000000001,0.04705882352941175]
